step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.9278,0.3044315992292871,0.9028571428571428,0.18308227114716108,0.7191008320777094
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,0.9137,0.0,0.0,0.0,0.07951476636138914
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,0.9994,0.9965116279069768,1.0,0.9930475086906141,0.9983510416855162
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,0.9997,0.9982588508415554,1.0,0.996523754345307,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.3463143254520167,0.3095004897159647,1.0,0.18308227114716108,0.9781500969700758
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,0.1998145572554474,0.0,0.0,0.0,0.7935127865967859
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,0.9944367176634215,0.9965116279069768,1.0,0.9930475086906141,0.9997374762456389
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,0.9972183588317107,0.9982588508415554,1.0,0.996523754345307,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.9447,0.5921828908554573,0.8144016227180527,0.46523754345307067,0.658876194316007
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.9137,0.0,0.0,0.0,0.08224353432128671
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.97095,0.8483424693291569,0.7719714964370546,0.9414831981460023,0.962308887905264
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.9868,0.9243986254295533,0.9139297848244621,0.9351100811123986,0.9758615059431862
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.925,0.23076923076923078,0.9,0.1323529411764706,0.5198303620935348
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.915,0.0,0.0,0.0,0.39711741059200845
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,DSFANet,0.2,0.11602209944751381,0.06402439024390244,0.6176470588235294,0.6444862064508577
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,Stacking,0.5175,0.17872340425531916,0.1044776119402985,0.6176470588235294,0.64654712612494
drift,NF-UNSW-NB15-v3.csv,adv_pgd,AE,0.92625,0.23376623376623376,1.0,0.1323529411764706,0.5322047584103112
drift,NF-UNSW-NB15-v3.csv,adv_pgd,LSTM,0.915,0.0,0.0,0.0,0.3942633033459052
drift,NF-UNSW-NB15-v3.csv,adv_pgd,DSFANet,0.15125,0.11009174311926606,0.060431654676258995,0.6176470588235294,0.6435525933947381
drift,NF-UNSW-NB15-v3.csv,adv_pgd,Stacking,0.5275,0.18181818181818182,0.1065989847715736,0.6176470588235294,0.6457277642711046
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,AE,0.915,0.0,0.0,0.0,0.08803251250483764
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,LSTM,0.915,0.0,0.0,0.0,0.29146668275742627
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,DSFANet,0.915,0.0,0.0,0.0,0.47883525337616084
drift,NF-UNSW-NB15-v3.csv,adv_mimicry,Stacking,0.915,0.0,0.0,0.0,0.9386981783996151
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,AE,0.91875,0.08450704225352113,1.0,0.04411764705882353,0.45965237696604605
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,LSTM,0.915,0.0,0.0,0.0,0.20448615957174998
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,DSFANet,0.44625,0.15939278937381404,0.0915032679738562,0.6176470588235294,0.6492502528265356
drift,NF-UNSW-NB15-v3.csv,adv_gdkde,Stacking,0.6225,0.21761658031088082,0.1320754716981132,0.6176470588235294,0.6621325526623385
