step,dataset,ensemble,subset,members,eval_size,acc,f1,precision,recall,ap
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,all,"RandomForest,SVM,AE,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,all,"RandomForest,SVM,AE,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_rf,"SVM,AE,LSTM,DSFANet",1000,0.968,0.8181818181818182,0.7272727272727273,0.935064935064935,0.9551419480330299
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_rf,"SVM,AE,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_svm,"RandomForest,AE,LSTM,DSFANet",1000,0.968,0.8181818181818182,0.7272727272727273,0.935064935064935,0.953601750499372
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_svm,"RandomForest,AE,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_ae,"RandomForest,SVM,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_ae,"RandomForest,SVM,LSTM,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_lstm,"RandomForest,SVM,AE,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_lstm,"RandomForest,SVM,AE,DSFANet",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,drop_dsfanet,"RandomForest,SVM,AE,LSTM",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,drop_dsfanet,"RandomForest,SVM,AE,LSTM",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,traditional_only,"RandomForest,SVM",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,traditional_only,"RandomForest,SVM",1000,1.0,1.0,1.0,1.0,1.0
ensemble_ablation,NF-UNSW-NB15-v3.csv,Voting,neural_only,"AE,LSTM,DSFANet",1000,0.793,0.3470031545741325,0.22916666666666666,0.7142857142857143,0.42903958143940923
ensemble_ablation,NF-UNSW-NB15-v3.csv,Stacking,neural_only,"AE,LSTM,DSFANet",1000,0.967,0.7272727272727273,1.0,0.5714285714285714,0.8917464511621476
